ts,bid1,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,bid10,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,bid6_qty,bid7_qty,bid8_qty,bid9_qty,bid10_qty,ask1,ask2,ask3,ask4,ask5,ask6,ask7,ask8,ask9,ask10,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,ask6_qty,ask7_qty,ask8_qty,ask9_qty,ask10_qty
1761314400082,110937.94,110937.93,110937.86,110936.84,110936.22,110936.21,110935.76,110935.75,110935.17,110934.65,0.32661,0.00494,0.0001,0.00119,0.0001,0.0001,0.00514,5e-05,0.00198,5e-05,110937.95,110937.96,110938.0,110938.03,110939.07,110939.24,110939.32,110939.34,110939.62,110939.95,2.52384,0.01981,0.0017,0.0001,5e-05,5e-05,0.0004,0.0001,0.06748,0.45937
1761314400182,110937.94,110937.93,110937.86,110936.84,110935.76,110935.75,110935.17,110934.65,110933.51,110932.39,0.51446,0.00494,0.0001,0.00119,0.00519,5e-05,0.00203,5e-05,0.00361,0.00014,110937.95,110937.96,110938.0,110938.03,110939.07,110939.24,110939.32,110939.61,110939.62,110939.94,2.65055,0.01981,0.0017,0.0001,5e-05,5e-05,0.0004,0.0001,0.06763,0.17904
1761314400282,110937.94,110937.93,110937.86,110936.84,110935.76,110935.75,110935.17,110934.65,110933.51,110932.39,0.51262,0.00494,0.0001,0.00119,0.00519,5e-05,0.00203,5e-05,0.00361,0.00014,110937.95,110937.96,110938.0,110938.03,110939.07,110939.24,110939.32,110939.61,110939.62,110939.93,2.64991,0.01981,0.0017,0.0001,5e-05,5e-05,0.0004,0.0001,0.06763,0.0001
1761314400382,110937.94,110937.93,110937.86,110937.5,110936.84,110935.76,110935.75,110935.17,110934.65,110933.51,1.30602,0.00434,0.0001,0.03976,0.00119,0.00519,5e-05,0.00203,5e-05,0.00361,110937.95,110937.96,110938.0,110938.03,110939.07,110939.24,110939.32,110939.61,110939.62,110939.93,2.22358,0.01981,0.0017,0.0001,5e-05,5e-05,0.0004,0.0001,0.00015,0.0001
1761314400483,110937.93,110937.92,110937.86,110937.51,110937.5,110936.84,110935.76,110935.75,110935.17,110934.65,0.00657,0.0009,0.0001,0.0001,0.00025,0.00119,0.00519,5e-05,0.00203,5e-05,110937.94,110937.95,110937.96,110938.0,110938.03,110938.86,110939.07,110939.24,110939.32,110939.93,4.64869,0.63208,0.01981,0.00165,0.0001,0.06748,5e-05,5e-05,0.0004,0.01386
1761314400583,110933.51,110932.39,110931.48,110931.29,110929.0,110927.6,110926.85,110926.84,110926.0,110925.99,0.0013,0.00014,5e-05,0.00556,5e-05,5e-05,0.00053,0.003,0.0001,0.09953,110933.52,110935.18,110935.77,110935.78,110935.85,110936.84,110936.85,110937.5,110937.51,110937.84,1.13011,1.40935,4.71395,0.00046,0.0001,0.0001,0.0001,0.0001,0.0001,0.0025
1761314400683,110931.29,110931.28,110929.26,110929.0,110928.26,110926.85,110926.84,110926.0,110925.99,110925.29,0.02668,0.0009,0.0001,5e-05,0.0001,0.00073,0.0032,0.0001,0.00015,5e-05,110931.3,110931.38,110931.49,110931.5,110932.39,110932.4,110933.4,110933.51,110933.52,110935.18,5.54964,0.0001,0.00065,0.00043,0.44951,0.0401,0.0025,0.03825,0.49045,0.0001
1761314400783,110924.67,110924.66,110924.6,110924.57,110924.35,110924.34,110924.33,110924.32,110924.31,110924.3,1.09659,0.00085,0.0003,0.0002,0.0001,0.04616,0.20395,0.04526,0.04521,0.04516,110924.68,110924.69,110924.76,110928.34,110928.96,110929.59,110931.29,110931.3,110931.42,110931.49,3.55661,0.11067,0.0001,0.00041,0.0025,0.01776,0.0001,0.39971,0.04811,0.0001
1761314400882,110924.67,110924.66,110924.6,110924.35,110924.34,110924.33,110924.32,110924.31,110924.3,110924.29,0.41742,0.00095,0.0003,0.0001,0.04616,0.20395,0.04526,0.04521,0.04516,0.04516,110924.68,110924.69,110924.76,110928.34,110928.96,110929.31,110929.58,110929.59,110931.29,110931.3,3.55161,0.11087,0.0001,0.00051,0.00255,0.04082,0.0001,0.00015,0.0001,0.36412
1761314400982,110924.67,110924.66,110924.6,110924.35,110924.34,110924.33,110924.32,110924.31,110924.3,110924.29,0.50062,0.00095,0.0003,0.0001,0.04616,0.20395,0.04526,0.04521,0.04516,0.04516,110924.68,110924.69,110924.76,110928.34,110928.96,110929.3,110929.31,110931.29,110931.3,110932.37,3.48385,0.11087,0.0001,0.00051,0.00255,0.0001,0.04097,0.0001,0.32412,0.0001
