ts,bid1,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,bid10,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,bid6_qty,bid7_qty,bid8_qty,bid9_qty,bid10_qty,ask1,ask2,ask3,ask4,ask5,ask6,ask7,ask8,ask9,ask10,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,ask6_qty,ask7_qty,ask8_qty,ask9_qty,ask10_qty
1761332400021,110619.38,110619.37,110619.31,110618.28,110618.0,110617.9,110616.62,110615.53,110614.96,110613.8,0.43458,0.0004,0.0001,0.00119,0.00014,5e-05,0.00209,0.00016,0.00367,5e-05,110619.39,110619.4,110619.45,110619.47,110619.63,110619.76,110619.86,110620.0,110620.14,110620.26,4.73681,0.05065,0.0503,0.0001,0.00045,0.00039,0.00065,0.11963,0.00039,0.046
1761332400121,110619.38,110619.37,110619.31,110618.28,110618.0,110617.9,110616.62,110615.53,110614.96,110613.81,0.91305,0.00025,0.0001,0.00119,0.00014,5e-05,0.00209,0.00016,0.00367,0.7692,110619.39,110619.4,110619.45,110619.47,110619.63,110619.76,110619.86,110620.0,110620.14,110620.26,3.86775,0.05065,0.0503,0.0001,0.00045,0.00039,0.00065,0.11963,0.00039,0.046
1761332400224,110619.38,110619.37,110619.31,110619.09,110618.36,110618.28,110618.0,110617.9,110616.62,110614.96,0.74493,0.0002,0.0001,0.1809,0.00014,0.00119,0.00014,5e-05,0.00219,0.00372,110619.39,110619.4,110619.45,110619.47,110619.63,110619.76,110619.86,110620.0,110620.14,110620.26,3.81732,0.0506,0.0503,0.0001,0.00045,0.00039,0.00065,0.11963,0.00039,0.046
1761332400321,110619.38,110619.37,110619.31,110619.09,110618.36,110618.28,110618.0,110617.9,110616.62,110614.96,1.21107,0.0001,0.0001,0.1812,0.00014,0.00119,0.00014,5e-05,0.00209,0.00367,110619.39,110619.4,110619.45,110619.47,110619.63,110619.76,110619.86,110620.0,110620.14,110620.26,3.81732,0.0506,0.0503,0.0001,0.00045,0.00039,0.00065,0.11963,0.00039,0.046
1761332400427,110619.38,110619.37,110619.31,110619.1,110619.09,110618.36,110618.28,110618.0,110617.9,110616.62,2.14938,0.00015,0.0001,0.05517,0.1812,0.00014,0.00119,0.00014,5e-05,0.00209,110619.39,110619.4,110619.45,110619.47,110619.63,110619.76,110619.86,110620.0,110620.14,110620.26,2.41347,0.0506,0.0503,0.0001,0.00045,0.00039,0.00065,0.11963,0.00039,0.046
1761332400521,110619.38,110619.31,110619.24,110619.1,110619.09,110618.36,110618.28,110618.0,110617.9,110617.1,3.49678,0.0001,0.04916,0.05547,0.1812,0.00014,0.00109,0.00014,5e-05,0.0025,110619.39,110619.4,110619.45,110619.47,110619.63,110619.76,110619.86,110620.0,110620.14,110620.26,1.76519,0.0507,0.0503,0.0001,0.00045,0.00039,0.00065,0.01963,0.00039,0.0001
1761332400621,110619.38,110619.31,110619.24,110619.11,110619.1,110619.09,110618.36,110618.28,110618.0,110617.9,4.71978,0.0001,0.04946,0.09257,0.0003,0.1811,0.00014,0.00104,0.00014,5e-05,110619.39,110619.4,110619.45,110619.47,110619.63,110619.76,110619.86,110620.0,110620.14,110620.42,0.41267,0.07347,0.0503,0.0001,0.00045,0.00039,0.00065,0.01963,0.00039,0.002
1761332400721,110619.75,110619.67,110619.62,110619.4,110619.39,110619.38,110619.28,110619.24,110619.11,110619.09,6.53478,0.0001,0.09149,3.17693,2.37705,1.99805,5e-05,0.04931,0.0001,0.18095,110619.76,110619.77,110619.86,110620.0,110620.14,110620.42,110620.44,110620.49,110620.78,110621.21,0.00284,0.0009,0.00085,0.01983,0.00049,0.00205,0.00093,0.00099,0.0039,5e-05
1761332400822,110622.47,110622.39,110621.53,110620.0,110619.76,110619.75,110619.62,110619.4,110619.39,110619.38,7.85675,0.0001,0.0025,5e-05,4.32292,1.22048,0.0003,0.0002,1.29121,0.89546,110622.48,110622.49,110622.56,110622.6,110623.43,110623.81,110624.0,110624.54,110624.73,110624.76,0.00954,0.0009,0.0001,5e-05,5e-05,0.00382,0.0016,0.00039,5e-05,5e-05
1761332400921,110626.98,110626.91,110626.01,110625.96,110625.05,110625.01,110625.0,110624.99,110624.93,110624.92,5.64008,0.0001,4.38121,0.0025,0.09129,0.29827,0.45095,0.79524,1.08761,0.49551,110626.99,110627.0,110627.07,110628.0,110628.79,110628.97,110629.05,110629.2,110629.57,110629.95,2.01865,0.00095,0.0001,0.0016,0.00398,0.00038,5e-05,5e-05,0.0001,0.00034
1761332401021,110626.98,110626.91,110626.02,110626.01,110625.96,110625.05,110625.01,110625.0,110624.99,110624.93,6.91746,0.0001,1.89885,0.30057,0.0027,0.09149,0.29842,0.45075,0.79509,1.08766,110626.99,110627.0,110627.07,110628.0,110628.79,110628.97,110629.05,110629.2,110629.95,110630.0,2.02362,0.0011,0.0001,0.0018,0.00408,0.00043,5e-05,5e-05,0.00034,0.00616
1761332401121,110626.98,110626.91,110626.02,110626.01,110625.96,110625.05,110625.01,110625.0,110624.99,110624.93,7.08991,0.0001,0.68121,0.04023,0.0026,0.09144,0.29837,0.1357,0.79509,1.08766,110626.99,110627.0,110627.07,110627.79,110628.0,110628.79,110628.81,110628.97,110629.05,110629.2,2.02372,0.00115,0.0001,0.29826,0.0018,0.00408,0.04924,0.00043,5e-05,5e-05
1761332401221,110626.98,110626.91,110626.02,110626.01,110625.96,110625.05,110625.01,110625.0,110624.99,110624.93,7.51842,0.0001,0.68121,0.04023,0.0026,0.09144,0.0001,0.1357,0.79509,1.08766,110626.99,110627.0,110627.07,110627.79,110628.0,110628.79,110628.81,110628.97,110629.05,110629.2,2.0226,0.0012,0.0001,0.29856,0.0017,0.00403,0.04934,0.00038,5e-05,5e-05
